Age,Household Income,Household Occupancy Type,Eating Out Frequency (Monthly),Preferred Meal Time,Ordering Style,Average Spend per Visit (GBP),Loyalty Program Usage,Total Visits in Last 6 Months,Dining Motivation,Food Values,Openness to New Cuisines,Customer Review
40,Medium,Couple,4,Breakfast,Takeout,47.79,Yes,15,Tradition,Comfort Food,Medium,Tried something new and absolutely loved it.
25,Medium,Multigenerational,12,Lunch,Dine-in,59.66,Yes,14,Taste,Experimental,Medium,A perfect spot for a quiet meal and good conversation.
50,Medium,Multigenerational,7,Lunch,Takeout,17.32,Yes,16,Taste,Experimental,Medium,"Not my usual spot, but I was pleasantly surprised."
54,Medium,Couple,10,Breakfast,Delivery,30.75,No,3,Social Aspect,Experimental,High,"The wait was a bit long, but the food made up for it."
69,Low,Single,11,Breakfast,Delivery,58.77,No,11,Tradition,Healthy,Low,"Affordable, delicious, and a true neighborhood gem."
64,High,Single,13,Late-night,Delivery,50.05,Yes,26,Convenience,Experimental,High,I loved the cozy atmosphere and the fresh ingredients.
49,High,Single,6,Dinner,Takeout,37.94,Yes,40,Taste,Locally Sourced,Low,A perfect spot for a quiet meal and good conversation.
20,Medium,Single,3,Lunch,Delivery,50.74,Yes,10,Tradition,Comfort Food,Low,"Affordable, delicious, and a true neighborhood gem."
47,Low,Multigenerational,3,Breakfast,Delivery,34.09,Yes,32,Taste,Experimental,High,A perfect spot for a quiet meal and good conversation.
20,Low,Family with Kids,4,Breakfast,Delivery,35.8,Yes,21,Tradition,Comfort Food,Medium,"The wait was a bit long, but the food made up for it."
23,High,Family with Kids,2,Late-night,Delivery,25.08,Yes,23,Convenience,Locally Sourced,Medium,Great experience! Will definitely be coming back soon.
46,High,Family with Kids,1,Dinner,Dine-in,21.67,No,4,Social Aspect,Comfort Food,High,"The wait was a bit long, but the food made up for it."
23,High,Family with Kids,9,Dinner,Dine-in,50.88,No,11,Tradition,Healthy,High,"The wait was a bit long, but the food made up for it."
60,Medium,Multigenerational,1,Late-night,Dine-in,40.29,Yes,16,Convenience,Experimental,High,The service was friendly and the food felt homemade.
35,High,Family with Kids,9,Late-night,Delivery,10.3,No,24,Convenience,Healthy,Medium,"Not my usual spot, but I was pleasantly surprised."
26,Medium,Family with Kids,8,Lunch,Dine-in,22.6,No,5,Convenience,Experimental,High,The portions were generous and the flavors authentic.
23,Medium,Multigenerational,8,Lunch,Dine-in,45.04,No,8,Taste,Experimental,Medium,I loved the cozy atmosphere and the fresh ingredients.
59,Low,Multigenerational,0,Dinner,Dine-in,59.54,Yes,0,Social Aspect,Healthy,Low,Great experience! Will definitely be coming back soon.
53,Low,Multigenerational,4,Dinner,Delivery,54.77,No,25,Tradition,Healthy,Low,"Not my usual spot, but I was pleasantly surprised."
42,Medium,Couple,4,Lunch,Takeout,43.0,No,2,Social Aspect,Locally Sourced,High,Felt like I was eating at a friend's house. So comforting.
22,High,Single,7,Breakfast,Delivery,54.19,No,34,Social Aspect,Experimental,Low,"The wait was a bit long, but the food made up for it."
36,High,Couple,4,Breakfast,Delivery,28.69,Yes,6,Social Aspect,Experimental,Medium,I loved the cozy atmosphere and the fresh ingredients.
33,High,Single,7,Breakfast,Delivery,48.31,No,16,Taste,Healthy,High,"Not my usual spot, but I was pleasantly surprised."
19,Medium,Single,11,Late-night,Dine-in,37.5,Yes,15,Convenience,Comfort Food,Low,"Affordable, delicious, and a true neighborhood gem."
32,Medium,Multigenerational,10,Late-night,Dine-in,49.3,No,9,Convenience,Experimental,High,The portions were generous and the flavors authentic.
18,High,Family with Kids,11,Breakfast,Takeout,34.67,Yes,17,Tradition,Healthy,Medium,I loved the cozy atmosphere and the fresh ingredients.
47,Low,Single,7,Dinner,Delivery,42.47,No,29,Convenience,Healthy,High,I loved the cozy atmosphere and the fresh ingredients.
70,High,Multigenerational,5,Lunch,Delivery,25.79,No,31,Convenience,Healthy,High,Great experience! Will definitely be coming back soon.
67,High,Single,11,Dinner,Dine-in,13.09,Yes,38,Social Aspect,Healthy,Medium,"The wait was a bit long, but the food made up for it."
27,Medium,Family with Kids,3,Breakfast,Delivery,42.08,Yes,26,Convenience,Comfort Food,Medium,The portions were generous and the flavors authentic.
57,Medium,Family with Kids,4,Breakfast,Takeout,24.31,Yes,37,Convenience,Experimental,High,"Not my usual spot, but I was pleasantly surprised."
28,High,Couple,6,Lunch,Dine-in,15.63,Yes,29,Convenience,Healthy,Medium,"Affordable, delicious, and a true neighborhood gem."
57,Medium,Single,1,Breakfast,Delivery,33.39,Yes,22,Taste,Healthy,High,I loved the cozy atmosphere and the fresh ingredients.
20,Low,Family with Kids,11,Dinner,Takeout,43.68,No,8,Taste,Healthy,High,Great experience! Will definitely be coming back soon.
33,High,Family with Kids,9,Breakfast,Takeout,20.14,Yes,0,Convenience,Comfort Food,High,The service was friendly and the food felt homemade.
41,Medium,Multigenerational,12,Breakfast,Dine-in,27.54,Yes,14,Tradition,Locally Sourced,Medium,Great experience! Will definitely be coming back soon.
46,High,Couple,7,Lunch,Dine-in,48.73,Yes,0,Tradition,Locally Sourced,Medium,"Not my usual spot, but I was pleasantly surprised."
42,Low,Family with Kids,8,Lunch,Dine-in,59.42,Yes,19,Taste,Comfort Food,High,Tried something new and absolutely loved it.
51,Low,Couple,5,Dinner,Takeout,50.3,No,21,Tradition,Comfort Food,High,Felt like I was eating at a friend's house. So comforting.
32,Low,Multigenerational,13,Late-night,Dine-in,33.6,No,3,Convenience,Experimental,High,Felt like I was eating at a friend's house. So comforting.
20,Low,Family with Kids,2,Late-night,Takeout,7.07,Yes,2,Tradition,Comfort Food,Low,Tried something new and absolutely loved it.
61,High,Single,4,Late-night,Takeout,35.39,Yes,27,Convenience,Healthy,Low,The portions were generous and the flavors authentic.
60,Low,Family with Kids,3,Late-night,Dine-in,48.64,No,5,Convenience,Comfort Food,Medium,The portions were generous and the flavors authentic.
47,High,Single,10,Breakfast,Dine-in,52.72,Yes,6,Taste,Healthy,Medium,The portions were generous and the flavors authentic.
24,High,Couple,6,Breakfast,Delivery,28.12,Yes,30,Social Aspect,Healthy,Medium,The service was friendly and the food felt homemade.
27,Low,Family with Kids,4,Lunch,Takeout,54.03,Yes,35,Taste,Experimental,Low,Tried something new and absolutely loved it.
18,High,Multigenerational,10,Breakfast,Takeout,34.14,Yes,40,Tradition,Locally Sourced,Low,Felt like I was eating at a friend's house. So comforting.
65,High,Multigenerational,8,Dinner,Dine-in,9.4,Yes,32,Social Aspect,Healthy,Medium,Great experience! Will definitely be coming back soon.
45,Medium,Single,8,Late-night,Takeout,15.65,No,37,Convenience,Comfort Food,Low,A perfect spot for a quiet meal and good conversation.
37,Medium,Family with Kids,12,Lunch,Takeout,35.66,Yes,11,Tradition,Healthy,Low,I loved the cozy atmosphere and the fresh ingredients.
51,Low,Single,1,Breakfast,Delivery,53.1,Yes,39,Social Aspect,Comfort Food,Low,"The wait was a bit long, but the food made up for it."
44,High,Single,4,Dinner,Takeout,55.15,No,4,Social Aspect,Healthy,High,"Affordable, delicious, and a true neighborhood gem."
21,High,Multigenerational,11,Late-night,Dine-in,23.27,No,33,Taste,Experimental,High,Felt like I was eating at a friend's house. So comforting.
40,Medium,Family with Kids,11,Lunch,Takeout,12.92,No,8,Taste,Locally Sourced,High,Tried something new and absolutely loved it.
70,Low,Couple,10,Breakfast,Takeout,12.96,Yes,14,Tradition,Experimental,High,"The wait was a bit long, but the food made up for it."
18,Low,Multigenerational,8,Late-night,Dine-in,25.67,Yes,16,Taste,Comfort Food,Low,"Not my usual spot, but I was pleasantly surprised."
42,Medium,Single,11,Dinner,Delivery,16.33,No,14,Taste,Healthy,Low,The portions were generous and the flavors authentic.
42,High,Single,12,Dinner,Delivery,21.58,No,26,Taste,Locally Sourced,Low,"The wait was a bit long, but the food made up for it."
62,Low,Family with Kids,11,Breakfast,Delivery,33.37,Yes,7,Convenience,Locally Sourced,High,Great experience! Will definitely be coming back soon.
66,High,Couple,8,Breakfast,Takeout,56.79,Yes,11,Convenience,Locally Sourced,Medium,The portions were generous and the flavors authentic.
42,Medium,Multigenerational,6,Late-night,Delivery,53.55,Yes,13,Taste,Comfort Food,Medium,"The wait was a bit long, but the food made up for it."
69,Low,Couple,10,Breakfast,Delivery,43.26,No,38,Tradition,Healthy,Medium,"Affordable, delicious, and a true neighborhood gem."
60,Medium,Family with Kids,12,Dinner,Takeout,15.26,Yes,15,Convenience,Locally Sourced,High,Tried something new and absolutely loved it.
63,Low,Couple,3,Lunch,Takeout,43.16,No,25,Taste,Comfort Food,High,I loved the cozy atmosphere and the fresh ingredients.
37,Medium,Couple,5,Breakfast,Dine-in,58.59,Yes,37,Tradition,Healthy,Low,"The wait was a bit long, but the food made up for it."
39,Low,Couple,3,Late-night,Dine-in,6.39,Yes,7,Convenience,Comfort Food,High,Tried something new and absolutely loved it.
62,High,Multigenerational,7,Breakfast,Delivery,18.23,Yes,9,Convenience,Healthy,Low,I loved the cozy atmosphere and the fresh ingredients.
40,Medium,Single,3,Dinner,Delivery,41.91,Yes,28,Convenience,Locally Sourced,Medium,"Not my usual spot, but I was pleasantly surprised."
19,Medium,Family with Kids,6,Late-night,Dine-in,9.93,No,3,Taste,Experimental,High,"Affordable, delicious, and a true neighborhood gem."
36,High,Couple,0,Breakfast,Delivery,7.22,Yes,40,Taste,Healthy,High,Tried something new and absolutely loved it.
19,Low,Multigenerational,1,Breakfast,Delivery,12.43,Yes,33,Taste,Locally Sourced,High,Tried something new and absolutely loved it.
35,Low,Single,3,Late-night,Takeout,14.03,Yes,27,Taste,Locally Sourced,Low,I loved the cozy atmosphere and the fresh ingredients.
20,Medium,Couple,2,Late-night,Takeout,31.77,No,14,Social Aspect,Locally Sourced,High,A perfect spot for a quiet meal and good conversation.
65,Low,Family with Kids,10,Dinner,Delivery,33.62,Yes,17,Taste,Experimental,High,Great experience! Will definitely be coming back soon.
35,Medium,Couple,3,Breakfast,Delivery,41.47,No,11,Social Aspect,Healthy,High,The portions were generous and the flavors authentic.
52,Low,Couple,8,Late-night,Dine-in,5.14,No,8,Taste,Locally Sourced,Medium,The service was friendly and the food felt homemade.
53,High,Family with Kids,2,Lunch,Delivery,11.45,No,40,Tradition,Experimental,Low,"Affordable, delicious, and a true neighborhood gem."
60,Low,Multigenerational,7,Dinner,Dine-in,9.75,Yes,19,Convenience,Healthy,Low,Tried something new and absolutely loved it.
38,High,Family with Kids,3,Breakfast,Dine-in,36.17,No,26,Taste,Healthy,Low,Great experience! Will definitely be coming back soon.
36,Low,Single,4,Lunch,Delivery,55.92,Yes,0,Social Aspect,Experimental,Low,I loved the cozy atmosphere and the fresh ingredients.
20,Medium,Family with Kids,13,Dinner,Dine-in,28.76,No,19,Convenience,Healthy,High,"The wait was a bit long, but the food made up for it."
21,High,Couple,10,Breakfast,Takeout,21.49,No,19,Social Aspect,Experimental,High,Great experience! Will definitely be coming back soon.
31,Medium,Couple,7,Dinner,Takeout,48.13,No,36,Social Aspect,Experimental,Low,I loved the cozy atmosphere and the fresh ingredients.
62,Low,Family with Kids,1,Late-night,Takeout,7.36,Yes,13,Tradition,Locally Sourced,High,I loved the cozy atmosphere and the fresh ingredients.
55,Medium,Multigenerational,6,Late-night,Delivery,48.75,No,0,Taste,Comfort Food,Medium,Great experience! Will definitely be coming back soon.
23,Low,Family with Kids,4,Breakfast,Dine-in,45.84,Yes,23,Taste,Locally Sourced,High,Great experience! Will definitely be coming back soon.
69,Low,Multigenerational,12,Breakfast,Takeout,54.39,Yes,21,Taste,Locally Sourced,Low,A perfect spot for a quiet meal and good conversation.
21,Low,Multigenerational,9,Breakfast,Dine-in,30.62,Yes,3,Taste,Comfort Food,Low,Tried something new and absolutely loved it.
18,High,Family with Kids,3,Late-night,Dine-in,31.46,No,0,Convenience,Healthy,Medium,"Not my usual spot, but I was pleasantly surprised."
40,High,Couple,12,Lunch,Takeout,20.15,Yes,35,Social Aspect,Comfort Food,Low,The portions were generous and the flavors authentic.
66,High,Couple,3,Dinner,Delivery,19.74,No,10,Taste,Experimental,High,Felt like I was eating at a friend's house. So comforting.
29,Low,Family with Kids,6,Breakfast,Dine-in,37.67,No,15,Convenience,Healthy,Low,Great experience! Will definitely be coming back soon.
33,Low,Couple,10,Breakfast,Delivery,7.09,Yes,33,Social Aspect,Healthy,High,"Not my usual spot, but I was pleasantly surprised."
53,High,Family with Kids,7,Dinner,Takeout,13.87,Yes,6,Convenience,Locally Sourced,Low,I loved the cozy atmosphere and the fresh ingredients.
45,Low,Single,12,Lunch,Takeout,55.67,No,11,Social Aspect,Experimental,Medium,The portions were generous and the flavors authentic.
36,High,Couple,13,Breakfast,Dine-in,52.13,No,11,Taste,Healthy,Medium,Felt like I was eating at a friend's house. So comforting.
21,Low,Couple,7,Late-night,Takeout,30.13,No,0,Taste,Experimental,High,A perfect spot for a quiet meal and good conversation.
44,High,Single,6,Breakfast,Dine-in,57.35,No,9,Tradition,Comfort Food,Low,"The wait was a bit long, but the food made up for it."
47,Low,Multigenerational,13,Late-night,Takeout,13.06,Yes,25,Tradition,Comfort Food,Low,"Not my usual spot, but I was pleasantly surprised."
65,Low,Family with Kids,2,Late-night,Delivery,52.98,Yes,37,Tradition,Healthy,Medium,A perfect spot for a quiet meal and good conversation.
68,High,Multigenerational,7,Late-night,Dine-in,45.15,Yes,31,Taste,Comfort Food,High,"The wait was a bit long, but the food made up for it."
69,Medium,Couple,9,Dinner,Takeout,29.38,No,3,Convenience,Healthy,Low,"The wait was a bit long, but the food made up for it."
22,Medium,Couple,7,Breakfast,Takeout,20.44,Yes,29,Convenience,Experimental,High,Tried something new and absolutely loved it.
19,Low,Family with Kids,1,Breakfast,Delivery,9.85,Yes,13,Social Aspect,Healthy,Medium,"Not my usual spot, but I was pleasantly surprised."
54,Medium,Couple,13,Breakfast,Takeout,55.88,Yes,16,Tradition,Healthy,Low,"Affordable, delicious, and a true neighborhood gem."
39,High,Single,1,Breakfast,Dine-in,7.14,Yes,21,Convenience,Locally Sourced,Low,Tried something new and absolutely loved it.
32,Low,Single,4,Dinner,Dine-in,52.72,No,34,Social Aspect,Locally Sourced,Medium,"The wait was a bit long, but the food made up for it."
29,High,Family with Kids,3,Late-night,Takeout,17.56,No,14,Convenience,Locally Sourced,Low,Great experience! Will definitely be coming back soon.
32,Medium,Couple,5,Dinner,Takeout,29.47,Yes,22,Tradition,Comfort Food,Low,"The wait was a bit long, but the food made up for it."
32,High,Couple,11,Lunch,Dine-in,20.6,No,26,Tradition,Locally Sourced,Medium,"Affordable, delicious, and a true neighborhood gem."
65,High,Couple,6,Breakfast,Takeout,19.64,Yes,29,Convenience,Comfort Food,Low,"Affordable, delicious, and a true neighborhood gem."
67,Medium,Single,11,Dinner,Delivery,48.29,No,35,Taste,Comfort Food,High,Tried something new and absolutely loved it.
70,Medium,Family with Kids,10,Breakfast,Delivery,31.47,No,10,Social Aspect,Comfort Food,Low,"Not my usual spot, but I was pleasantly surprised."
46,High,Multigenerational,10,Late-night,Takeout,59.07,Yes,9,Taste,Locally Sourced,Medium,Felt like I was eating at a friend's house. So comforting.
50,High,Couple,13,Lunch,Dine-in,53.49,No,14,Tradition,Locally Sourced,Low,"Not my usual spot, but I was pleasantly surprised."
32,Medium,Couple,9,Dinner,Takeout,32.16,No,39,Taste,Experimental,Low,Tried something new and absolutely loved it.
57,High,Single,4,Late-night,Takeout,26.93,Yes,33,Tradition,Locally Sourced,Low,A perfect spot for a quiet meal and good conversation.
22,Medium,Family with Kids,1,Lunch,Takeout,43.01,No,19,Convenience,Experimental,High,I loved the cozy atmosphere and the fresh ingredients.
18,Low,Single,1,Breakfast,Takeout,34.48,No,15,Social Aspect,Healthy,High,A perfect spot for a quiet meal and good conversation.
40,Medium,Couple,5,Lunch,Delivery,47.57,No,28,Convenience,Healthy,Low,"Affordable, delicious, and a true neighborhood gem."
29,Low,Couple,13,Dinner,Delivery,29.05,No,10,Tradition,Locally Sourced,Medium,A perfect spot for a quiet meal and good conversation.
48,High,Single,12,Late-night,Dine-in,25.59,No,23,Taste,Locally Sourced,High,Felt like I was eating at a friend's house. So comforting.
18,High,Couple,13,Late-night,Delivery,33.53,No,6,Taste,Experimental,Low,I loved the cozy atmosphere and the fresh ingredients.
22,Medium,Single,9,Breakfast,Takeout,55.17,No,7,Social Aspect,Locally Sourced,Medium,"The wait was a bit long, but the food made up for it."
69,High,Couple,0,Late-night,Dine-in,23.46,Yes,15,Convenience,Experimental,High,The portions were generous and the flavors authentic.
